Oper,DataType,Code,#Operand,#Result,Latency,Throughput,UMC28-Area (um2),UMC28-Power (uW),VU9P-TotalLUTs,VU9P-LogicLUTs,VU9P-LUTRAMs,VU9P-SRLs,VU9P-FFs,VU9P-RAMB36,VU9P-RAMB18,VU9P-URAM,VU9P-DSPBlocks,Notes
LXor,I8x8,52,2,1,1,1,,,41,41,0,0,0,0,0,0,0,
LShf,I32x2,53,2,1,1,1,,,169,169,0,0,0,0,0,0,0,
UI16ToUI64,U64x8,54,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI8ToSI16,U64x4,55,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI16ToUI16,U32x4,56,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
D64ToSI8,D64,57,1,1,1,1,,,140,140,0,0,0,0,0,0,0,
Mul,I16,58,2,1,1,1,,,12,12,0,0,0,0,0,0,1,
LAnd,U8x4,59,2,1,1,1,,,21,21,0,0,0,0,0,0,0,
SI16ToUI8,I64x2,60,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
LAnd,H16x2,61,2,1,1,1,,,19,19,0,0,0,0,0,0,0,
FNE,H16x4,62,2,1,1,1,,,81,81,0,0,0,0,0,0,0,
LOr,D64x2,63,2,1,1,1,,,65,65,0,0,0,0,0,0,0,
UI32ToUI16,I32x4,64,1,1,1,1,,,16,16,0,0,0,0,0,0,0,
LAnd,I16,65,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
SI64ToH16,D64x2,66,1,1,1,1,,,974,974,0,0,0,0,0,0,0,
EQ,U16x2,67,2,1,1,1,,,14,14,0,0,0,0,0,0,0,
SI8ToD64,D64,68,1,1,1,1,,,27,27,0,0,0,0,0,0,0,
LAnd,I32x2,69,2,1,1,1,,,37,37,0,0,0,0,0,0,0,
SI8ToSI32,I32x2,70,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
FLT,H16x8,71,2,1,1,1,,,809,809,0,0,0,0,0,0,0,
SI32ToSI16,I64,72,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
NE,I8x2,73,2,1,1,1,,,9,9,0,0,0,0,0,0,0,
GT,U16x4,74,2,1,1,1,,,35,35,0,0,0,0,0,0,0,
F32ToUI8,F32x2,75,1,1,1,1,,,240,240,0,0,0,0,0,0,0,
Sub,I16x4,76,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
Cat,I64,77,2,1,1,1,,,33,33,0,0,0,0,0,0,0,
SI16ToSI64,I64x8,78,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
EQ,U8x2,79,2,1,1,1,,,9,9,0,0,0,0,0,0,0,
SI16ToUI32,I32x8,80,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
LOr,U32x2,81,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
SI32ToUI32,I64x2,82,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI16ToSI8,U64x8,83,1,1,1,1,,,20,20,0,0,0,0,0,0,0,
LT,U8,84,2,1,1,1,,,6,6,0,0,0,0,0,0,0,
Select,I16x2,85,3,1,1,1,,,33,33,0,0,0,0,0,0,0,
F32ToSI64,D64x8,86,1,1,1,1,,,3423,3423,0,0,0,0,0,0,0,
F32ToH16,F32x8,87,1,1,1,1,,,1837,1837,0,0,0,0,0,0,0,
FLE,H16x8,88,2,1,1,1,,,635,635,0,0,0,0,0,0,0,
F32ToUI8,D64x2,89,1,1,1,1,,,240,240,0,0,0,0,0,0,0,
Div,U16,90,2,1,1,1,,,283,283,0,0,0,0,0,0,0,
FLE,H16x2,91,2,1,1,1,,,189,189,0,0,0,0,0,0,0,
pnMulAdd,I16x2,92,3,1,1,1,,,24,24,0,0,0,0,0,0,2,
UI64ToSI16,I64x4,93,1,1,1,1,,,42,42,0,0,0,0,0,0,0,
FMul,F32x4,94,2,1,1,1,,,1951,1951,0,0,0,0,0,0,8,
SI32ToUI16,I32,95,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
H16ToSI16,H16x4,96,1,1,1,1,,,520,520,0,0,0,0,0,0,0,
LOr,U16x8,97,2,1,1,1,,,73,73,0,0,0,0,0,0,0,
H16ToSI8,D64x4,98,1,1,1,1,,,387,387,0,0,0,0,0,0,0,
SI8ToUI16,I16x2,99,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FSqrt,D64x4,100,2,1,1,1,,,5396,5396,0,0,1364,0,0,0,0,
LNot,I8x4,101,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
SI16ToSI8,I16x8,102,1,1,1,1,,,18,18,0,0,0,0,0,0,0,
SI16ToUI32,I64x8,103,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
Sub,U16x8,104,2,1,1,1,,,193,193,0,0,0,0,0,0,0,
LAnd,F32x8,105,2,1,1,1,,,145,145,0,0,0,0,0,0,0,
Div,U8x2,106,2,1,1,1,,,150,150,0,0,0,0,0,0,0,
UI32ToSI32,U32x4,107,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
ppMulAdd,I32x4,108,3,1,1,1,,,410,410,0,0,0,0,0,0,16,
UI8ToSI16,U32,109,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FNE,F32x2,110,2,1,1,1,,,448,448,0,0,0,0,0,0,0,
SI8ToUI16,U32x2,111,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI32ToSI8,I32,112,1,1,1,1,,,6,6,0,0,0,0,0,0,0,
UI32ToUI8,I64x4,113,1,1,1,1,,,24,24,0,0,0,0,0,0,0,
UI8ToUI16,I16x4,114,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FSub,F32x2,115,2,1,1,1,,,1663,1663,0,0,0,0,0,0,0,
EQ,I32x8,116,2,1,1,1,,,93,93,0,0,0,0,0,0,0,
FixedSin,I16,117,1,1,1,1,,,68,68,0,0,0,0,0,0,0,
FpnMulAdd,F32,118,3,1,1,1,,,1296,1296,0,0,0,0,0,0,2,
SI64ToUI64,I64,119,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
Div,U8x8,120,2,1,1,1,,,603,603,0,0,0,0,0,0,0,
UI64ToSI64,I64x8,121,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
Select,U64x4,122,3,1,1,1,,,257,257,0,0,0,0,0,0,0,
